frame,leading,right_leading,left_leading,following,right_following,left_following
5.2,,41.0,,,,
5.23,,41.0,,,,
5.27,,41.0,,,,
5.3,,41.0,,,,
5.33,,41.0,,,,
5.37,,41.0,,,,
5.4,,41.0,,,,
5.43,,41.0,,,,
5.47,,41.0,,,,
5.5,,41.0,,,,
5.53,,41.0,,,,
5.57,,41.0,,,,
5.6,,41.0,,,,
5.63,,41.0,,,,
5.67,,41.0,,,,
5.7,,41.0,,,,
5.73,,41.0,,,,
5.77,,41.0,,,,
5.8,,41.0,,,,
5.83,,41.0,,,,
5.87,,41.0,,,,
5.9,,41.0,,,,
5.93,,,,,,
5.97,,,,,,
6.0,,,,,,
6.03,,,,,,
6.07,,,,,,
6.1,,,,,,
6.13,,,,,,
6.17,,,,,,
6.2,,,,,,
6.23,,,,,,
6.27,,,,,,
6.3,,,,,,
6.33,,,,,,
6.37,,,,,,
6.4,,,,,,
6.43,,,,,,
6.47,,,,,,
6.5,,,,,,
6.53,,41.0,,,,
6.57,,41.0,,,,
6.6,,41.0,,,,
6.63,,41.0,,,,
6.67,,41.0,,,,
6.7,,41.0,,,,
6.73,,41.0,,,,
6.77,,41.0,,,,
6.8,,41.0,,,,
6.83,,41.0,,,,
6.87,,41.0,,,,
6.9,,41.0,,,,
6.93,,41.0,,,,
7.27,,41.0,,,,
7.3,,41.0,,,,
7.33,,41.0,,,,
7.37,,41.0,,,,
7.4,,41.0,,,,
7.43,,41.0,,,,
7.47,,41.0,,,,
7.5,,41.0,,,,
7.53,,41.0,,,,
7.57,,41.0,,,,
7.6,,41.0,,,,
7.63,,41.0,,,,
7.67,,41.0,,,,
7.7,,41.0,,,,
7.73,,41.0,,,,
7.77,,41.0,,,,
7.8,,41.0,,,,
7.83,,41.0,,,,
7.87,,41.0,,,,
7.9,,41.0,,,,
7.93,,41.0,,,,
7.97,,41.0,,,,
8.0,,41.0,,,,
8.03,,41.0,,,,
8.07,,4.0,,,41.0,
8.1,,4.0,,,41.0,
8.13,,4.0,,,41.0,
8.17,,4.0,,,41.0,
8.2,,4.0,,,41.0,
8.23,,4.0,,,41.0,
8.27,,4.0,,,41.0,
8.3,,4.0,,,41.0,
8.33,,4.0,,,41.0,
8.37,,4.0,,,41.0,
8.4,,4.0,,,41.0,
8.43,,4.0,,,41.0,
8.47,,4.0,,,41.0,
8.5,,4.0,,,41.0,
8.53,,4.0,,,41.0,
8.57,,4.0,,,41.0,
8.6,,4.0,,,41.0,
8.63,,4.0,,,41.0,
8.67,,4.0,,,41.0,
8.7,,4.0,,,41.0,
8.73,,4.0,,,41.0,
8.77,,4.0,,,41.0,
8.8,,4.0,,,41.0,
8.83,,4.0,,,41.0,
8.87,,4.0,,,41.0,
8.9,,4.0,,,41.0,
8.93,,4.0,,,41.0,
8.97,,4.0,,,41.0,
9.0,,4.0,,,41.0,
9.03,,4.0,,,41.0,
9.07,,4.0,,,41.0,
9.1,,4.0,,,41.0,
9.13,,4.0,,,41.0,
9.17,,4.0,,,41.0,
9.2,,4.0,,,41.0,
9.23,,4.0,,,41.0,
9.27,,4.0,,,41.0,
9.3,,4.0,,,41.0,
9.33,,4.0,,,41.0,
9.37,,4.0,,,41.0,
9.4,,4.0,,,41.0,
9.43,,4.0,,,41.0,
9.47,,4.0,,,41.0,
9.5,,4.0,,,41.0,
9.53,,4.0,,,41.0,
9.57,,4.0,,,41.0,
9.6,,4.0,,,41.0,
9.63,,4.0,,,41.0,
9.67,,4.0,,,41.0,
9.7,,4.0,,,41.0,
9.73,,4.0,,,41.0,
9.77,,4.0,,,41.0,
9.8,,4.0,,,41.0,
9.83,,4.0,,,41.0,
9.87,,4.0,,,41.0,
9.9,,4.0,,,41.0,
9.93,,4.0,,,41.0,
9.97,,4.0,,,41.0,
