frame,ID,car_type,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane,v_x,v_y,a_x,a_y
0.0,4, white car,34.89,463.3,20.41,463.3,49.38,463.3,28.97,12.08,3,0.0,0.0,0.0,0.0
0.03,4, white car,34.39,463.34,20.01,463.34,48.76,463.34,28.76,11.99,3,-4.63,0.37,0.0,0.0
0.07,4, white car,33.76,463.16,19.41,463.16,48.11,463.16,28.7,11.98,3,-5.83,-1.67,-40.0,-68.0
0.1,4, white car,33.4,462.97,19.11,462.97,47.69,462.97,28.57,11.95,3,-3.33,-1.76,83.33,-3.0
0.13,4, white car,32.8,462.91,18.67,462.91,46.92,462.91,28.25,11.84,3,-5.56,-0.56,-74.33,40.0
0.17,4, white car,32.3,462.85,18.26,462.85,46.33,462.85,28.07,11.79,3,-4.63,-0.56,31.0,0.0
0.2,4, white car,31.73,462.82,17.57,462.82,45.89,462.82,28.32,11.91,3,-5.28,-0.28,-21.67,9.33
0.23,4, white car,31.21,462.92,17.01,462.92,45.41,462.92,28.4,11.97,3,-4.81,0.93,15.67,40.33
0.27,4, white car,30.66,462.8,16.3,462.8,45.01,462.8,28.71,12.13,3,-5.09,-1.11,-9.33,-68.0
0.3,4, white car,30.19,462.6,15.76,462.6,44.62,462.6,28.86,12.24,3,-4.35,-1.85,24.67,-24.67
0.33,4, white car,29.73,462.58,15.28,462.58,44.17,462.58,28.89,12.31,3,-4.26,-0.19,3.0,55.33
0.37,4, white car,29.32,462.48,14.9,462.48,43.75,462.48,28.85,12.34,3,-3.8,-0.93,15.33,-24.67
0.4,4, white car,28.81,462.39,14.38,462.39,43.24,462.39,28.86,12.37,3,-4.72,-0.83,-30.67,3.33
0.43,4, white car,27.99,462.4,13.57,462.4,42.41,462.4,28.84,12.41,3,-7.59,0.09,-95.67,30.67
0.47,4, white car,27.33,462.39,12.8,462.39,41.87,462.39,29.08,12.57,3,-6.11,-0.09,49.33,-6.0
0.5,4, white car,26.74,462.31,12.2,462.31,41.27,462.31,29.07,12.64,3,-5.46,-0.74,21.67,-21.67
0.53,4, white car,26.1,462.24,11.64,462.24,40.55,462.24,28.91,12.64,3,-5.93,-0.65,-15.67,3.0
0.57,4, white car,25.49,462.17,11.02,462.17,39.96,462.17,28.93,12.71,3,-5.65,-0.65,9.33,0.0
0.6,4, white car,25.08,462.08,10.62,462.08,39.54,462.08,28.92,12.76,3,-3.8,-0.83,61.67,-6.0
0.63,4, white car,24.66,462.02,10.19,462.02,39.12,462.02,28.93,12.81,3,-3.89,-0.56,-3.0,9.0
0.67,4, white car,24.14,461.98,9.74,461.98,38.54,461.98,28.8,12.79,3,-4.81,-0.37,-30.67,6.33
