frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,9,1360.26,557.5,0.0,0.0,0.0,0.0,2,,,0.0,0.0,,,,,,,,,,81.21964109745869,,,,
0.03,9,1357.79,557.12,-22.87,-3.52,0.0,0.0,2,,,22.87,3.52,,,,,,,,,,79.03062254594748,,,,
0.07,9,1355.2,556.81,-23.98,-2.87,-37.0,21.67,2,,,23.98,2.87,,,,,,,,,,76.28532296582364,,,,
0.1,9,1351.67,556.8,-32.69,-0.09,-290.33,92.67,2,,,32.69,0.09,,,,,,,,,,72.6661028265588,,,,
0.13,9,1348.2,556.64,-32.13,-1.48,18.67,-46.33,2,,,32.13,1.48,,,,,,,,,,69.1737667038596,,,,
0.17,9,1345.03,556.45,-29.35,-1.76,92.67,-9.33,2,,,29.35,1.76,,,,,,,,,,65.89375842976335,,,,
0.2,9,1341.71,556.39,-30.74,-0.56,-46.33,40.0,2,,,30.74,0.56,,,,,,,,,,62.879091914562444,,,,
0.23,9,1338.67,556.34,-28.15,-0.46,86.33,3.33,2,,,28.15,0.46,,,,,,,,,,60.03107611895705,,,,
0.27,9,1335.65,556.08,-27.96,-2.41,6.33,-65.0,2,,,27.96,2.41,,,,,,,,,,56.92046468538366,,,,
0.3,9,1332.27,556.03,-31.3,-0.46,-111.33,65.0,2,,,31.3,0.46,,,,,,,,,,53.697569777411665,,,,
0.33,9,1328.93,555.76,-30.93,-2.5,12.33,-68.0,2,,,30.93,2.5,,,,,,,,,,50.93748325153101,,,,
0.37,9,1325.72,555.65,-29.72,-1.02,40.33,49.33,2,,,29.72,1.02,,,,,,,,,,48.21527247667497,,,,
0.4,9,1322.7,555.48,-27.96,-1.57,58.67,-18.33,2,,,27.96,1.57,,,,,,,,,,45.292993939460416,,,,
