frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
0.0,1, white car,289.39,478.68,316.65,492.11,303.02,485.4,289.39,485.4,316.65,485.4,27.27,13.43,3
0.03,1, white car,288.47,478.57,315.79,492.03,302.13,485.3,288.47,485.3,315.79,485.3,27.32,13.45,3
0.07,1, white car,287.33,478.53,314.86,492.09,301.09,485.31,287.33,485.31,314.86,485.31,27.53,13.56,3
0.1,1, white car,286.16,478.34,313.54,491.83,299.85,485.08,286.16,485.08,313.54,485.08,27.38,13.49,3
0.13,1, white car,284.96,478.3,312.26,491.75,298.61,485.03,284.96,485.03,312.26,485.03,27.3,13.45,3
0.17,1, white car,283.68,478.15,311.19,491.72,297.44,484.93,283.68,484.93,311.19,484.93,27.51,13.56,3
0.2,1, white car,282.27,477.96,309.84,491.57,296.05,484.77,282.27,484.77,309.84,484.77,27.57,13.61,3
0.23,1, white car,281.23,477.85,308.68,491.39,294.96,484.62,281.23,484.62,308.68,484.62,27.45,13.55,3
0.27,1, white car,279.77,477.53,307.69,491.3,293.73,484.41,279.77,484.41,307.69,484.41,27.92,13.77,3
0.3,1, white car,278.48,477.47,306.36,491.24,292.42,484.36,278.48,484.36,306.36,484.36,27.88,13.76,3
0.33,1, white car,277.49,477.37,305.53,491.23,291.51,484.3,277.49,484.3,305.53,484.3,28.04,13.85,3
0.63,1, white car,268.64,475.64,297.76,490.06,283.2,482.85,268.64,482.85,297.76,482.85,29.12,14.42,3
0.67,1, white car,267.66,475.58,296.42,489.87,282.04,482.73,267.66,482.73,296.42,482.73,28.76,14.29,3
0.73,1, white car,265.73,475.51,294.39,489.77,280.06,482.64,265.73,482.64,294.39,482.64,28.66,14.27,3
0.77,1, white car,264.85,475.48,293.43,489.71,279.14,482.59,264.85,482.59,293.43,482.59,28.58,14.23,3
0.8,1, white car,264.04,475.56,291.85,489.39,277.94,482.48,264.04,482.48,291.85,482.48,27.82,13.83,3
0.83,1, white car,263.34,475.63,290.73,489.2,277.04,482.41,263.34,482.41,290.73,482.41,27.39,13.57,3
0.87,1, white car,262.68,475.68,289.78,489.05,276.23,482.37,262.68,482.37,289.78,482.37,27.1,13.38,3
