frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,12,176.54,474.94,0.0,0.0,0.0,0.0,3,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,36.358637213185006,,100.8957645295381,112.26748861536004,
0.03,12,175.63,474.87,-8.43,-0.65,0.0,0.0,3,,,8.43,0.65,,,8.43,0.65,8.43,0.65,,,,36.02784062360665,,101.90733094336245,113.24258033089848,
0.07,12,174.69,474.71,-8.7,-1.48,-9.0,-27.67,3,,,8.7,1.48,,,8.7,1.48,8.7,1.48,,,,35.56459053609361,,102.78966485012002,114.06327060013663,
0.1,12,173.79,474.38,-8.33,-3.06,12.33,-52.67,3,,,8.33,3.06,,,8.33,3.06,8.33,3.06,,,,34.94307513657034,,103.52215076977487,114.68510365343876,
0.13,12,172.76,474.2,-9.54,-1.67,-40.33,46.33,3,,,9.54,1.67,,,9.54,1.67,9.54,1.67,,,,34.539515051604305,,104.71493923982383,115.80854286277845,
0.17,12,171.98,473.89,-7.22,-2.87,77.33,-40.0,3,,,7.22,2.87,,,7.22,2.87,7.22,2.87,,,,148.97874781323677,,105.67427927362458,116.66349900461582,
0.2,12,171.2,473.74,-7.22,-1.39,0.0,49.33,3,,,7.22,1.39,,,7.22,1.39,7.22,1.39,,,,148.01283356520136,,106.29753195629706,117.23515257805568,
0.23,12,170.58,473.78,-5.74,0.37,49.33,58.67,3,,,5.74,-0.37,,,5.74,-0.37,5.74,-0.37,,,,147.203932692031,,106.64055982598742,117.58653536863818,
0.27,12,169.74,473.6,-7.78,-1.67,-68.0,-68.0,3,,,7.78,1.67,,,7.78,1.67,7.78,1.67,,,,145.7473107813657,,106.8600851581169,117.75020551999047,
0.3,12,168.46,473.55,-11.85,-0.46,-135.67,40.33,3,,,11.85,0.46,,,11.85,0.46,11.85,0.46,,,,144.3252687508324,,107.93856817653271,118.8032810994713,
0.33,12,167.04,473.47,-13.15,-0.74,-43.33,-9.33,3,,,13.15,0.74,,,13.15,0.74,13.15,0.74,,,,143.0169696224892,,109.41789661659557,120.24515790666997,
0.37,12,165.64,473.41,-12.96,-0.56,6.33,6.0,3,,,12.96,0.56,,,12.96,0.56,12.96,0.56,,,,32.712826230700436,,111.01423197050005,121.80965150594592,
0.4,12,164.34,473.43,-12.04,0.19,30.67,25.0,3,,,12.04,-0.19,,,12.04,-0.19,12.04,-0.19,,,,32.73748463153517,,112.46258088804471,123.25095699425621,
0.43,12,163.19,473.3,-10.65,-1.2,46.33,-46.33,3,,,10.65,1.2,,,10.65,1.2,10.65,1.2,,,,32.65132309723454,,113.64971535380104,124.39123321199126,
0.47,12,162.21,473.18,-9.07,-1.11,52.67,3.0,3,,,9.07,1.11,,,9.07,1.11,9.07,1.11,,,,32.60219011048186,,114.6270565791515,125.32702581646146,
0.5,12,161.11,473.02,-10.19,-1.48,-37.33,-12.33,3,,,10.19,1.48,,,10.19,1.48,10.19,1.48,,,,32.56904665476101,,115.63871540275775,126.28641811374648,
0.53,12,160.07,472.91,-9.63,-1.02,18.67,15.33,3,,,9.63,1.02,,,9.63,1.02,9.63,1.02,,,,32.61282263159695,,116.63480483972182,127.24491816964634,
0.57,12,159.21,472.71,-7.96,-1.85,55.67,-27.67,3,,,7.96,1.85,,,,,7.96,1.85,,,,32.587914937902966,,,127.92302841943663,
0.6,12,158.42,472.6,-7.31,-1.02,21.67,27.67,3,,,7.31,1.02,,,,,7.31,1.02,,,,32.61047224435736,,,128.81364407546275,
0.63,12,157.47,472.53,-8.8,-0.65,-49.67,12.33,3,,,8.8,0.65,,,,,8.8,0.65,,,,32.75754111651237,,,129.72091774266784,
0.67,12,156.68,472.48,-7.31,-0.46,49.67,6.33,3,,,7.31,0.46,,,7.31,0.46,,,,,,32.904852225773666,,120.01193982266932,,
0.7,12,155.9,472.48,-7.22,0.0,3.0,15.33,3,,,7.22,0.0,,,7.22,0.0,,,,,,33.12125148601728,,120.78695500756695,,
0.73,12,155.05,472.35,-7.87,-1.2,-21.67,-40.0,3,,,7.87,1.2,,,7.87,1.2,,,,,,33.253007382791736,,121.60644431936983,,
0.77,12,154.18,472.24,-8.06,-1.02,-6.33,6.0,3,,,8.06,1.02,,,8.06,1.02,,,,,,33.40975905330658,,122.55285308796364,,
