frame,leading,right_leading,left_leading,following,right_following,left_following
0.0,,36.0,14.0,,25.0,
0.03,,36.0,14.0,,25.0,
0.07,,36.0,14.0,,25.0,
0.1,,36.0,14.0,,25.0,
0.13,,36.0,14.0,,25.0,
0.17,,36.0,14.0,,25.0,
0.2,,36.0,14.0,,25.0,
0.23,,36.0,14.0,,25.0,
0.27,,36.0,14.0,,25.0,
0.3,,36.0,14.0,,25.0,
0.33,,36.0,14.0,,25.0,
0.37,,36.0,14.0,,25.0,
0.4,,36.0,14.0,,25.0,
0.43,,36.0,14.0,,25.0,
0.47,,36.0,14.0,,25.0,
0.5,,36.0,14.0,,25.0,
0.53,,36.0,14.0,,25.0,
0.57,,36.0,14.0,,25.0,
0.6,,36.0,14.0,,25.0,
0.63,,36.0,14.0,,25.0,
0.67,,36.0,14.0,,25.0,
0.7,,36.0,14.0,,25.0,
0.73,,36.0,14.0,,,
0.77,,36.0,14.0,,25.0,
0.8,,36.0,14.0,,25.0,
0.83,,36.0,14.0,,,
0.87,,36.0,14.0,,,
0.9,,36.0,14.0,,,
0.93,,36.0,14.0,,,
0.97,,36.0,14.0,,25.0,
1.0,,36.0,14.0,,25.0,
1.03,,36.0,14.0,,25.0,
1.07,,36.0,14.0,,25.0,
1.1,,36.0,14.0,,25.0,
1.13,,36.0,14.0,,25.0,
1.17,,36.0,14.0,,25.0,
1.2,,36.0,14.0,,25.0,
1.23,,36.0,14.0,,25.0,
1.27,,36.0,14.0,,25.0,
1.3,,36.0,14.0,,25.0,
1.33,,36.0,14.0,,25.0,
1.37,,36.0,14.0,,25.0,
1.4,,36.0,14.0,,25.0,
1.43,,36.0,14.0,,25.0,
1.47,,36.0,,,25.0,
1.53,,36.0,14.0,,25.0,
1.57,,36.0,14.0,,25.0,
1.6,,36.0,14.0,,25.0,
1.63,,36.0,14.0,,25.0,
1.67,,36.0,14.0,,25.0,
1.7,,36.0,14.0,,25.0,
1.73,,36.0,14.0,,25.0,
1.77,,36.0,14.0,,25.0,
1.8,,36.0,14.0,,25.0,
1.83,,36.0,14.0,,25.0,
1.87,,36.0,14.0,,25.0,
1.9,,36.0,14.0,,25.0,
1.93,,36.0,14.0,,25.0,
1.97,,36.0,14.0,,25.0,
2.0,,36.0,14.0,,25.0,
2.03,,36.0,14.0,,25.0,
2.07,,36.0,14.0,,25.0,
2.1,,36.0,14.0,,25.0,
2.13,,36.0,14.0,,25.0,
2.17,,36.0,14.0,,25.0,
2.2,,36.0,14.0,,25.0,
2.23,,36.0,14.0,,25.0,
2.27,,36.0,14.0,,25.0,
2.3,,36.0,14.0,,25.0,
2.33,,36.0,14.0,,25.0,
2.37,,36.0,14.0,,25.0,
2.4,,36.0,14.0,,25.0,
2.43,,36.0,14.0,,25.0,
2.47,,36.0,14.0,,25.0,
2.5,,36.0,14.0,,25.0,
2.53,,36.0,14.0,,25.0,
2.57,,36.0,14.0,,25.0,
2.6,,36.0,14.0,,25.0,
2.63,,36.0,14.0,,25.0,
2.67,,36.0,14.0,,25.0,
2.7,,36.0,14.0,,25.0,
2.73,,36.0,14.0,,25.0,
2.77,,36.0,14.0,,25.0,
2.8,,36.0,14.0,,25.0,
2.83,,36.0,14.0,,25.0,
2.87,,36.0,14.0,,25.0,
2.9,,36.0,14.0,,25.0,
2.93,,36.0,14.0,,25.0,
2.97,,36.0,14.0,,25.0,
3.0,,36.0,14.0,,25.0,
3.03,,36.0,14.0,,25.0,
3.07,,36.0,14.0,,25.0,
3.1,,36.0,14.0,,25.0,
3.13,,36.0,14.0,,25.0,
3.17,,36.0,14.0,,25.0,
3.2,,36.0,14.0,,25.0,
3.23,,36.0,14.0,,25.0,
3.27,,36.0,14.0,,25.0,
3.3,,36.0,14.0,,25.0,
3.33,,36.0,14.0,,25.0,
3.37,,36.0,14.0,,25.0,
3.4,,36.0,14.0,,25.0,
3.43,,36.0,14.0,,25.0,
3.47,,36.0,14.0,,25.0,
3.5,,36.0,14.0,,25.0,
3.53,,36.0,14.0,,25.0,
3.57,,36.0,14.0,,25.0,
3.6,,36.0,14.0,,25.0,
3.63,,36.0,14.0,,25.0,
3.67,,36.0,14.0,,25.0,
3.7,,36.0,14.0,,25.0,
3.73,,36.0,14.0,,25.0,
3.77,,36.0,14.0,,25.0,
3.8,,36.0,14.0,,25.0,
3.83,,36.0,14.0,,25.0,
3.87,,36.0,14.0,,25.0,
3.9,,36.0,14.0,,25.0,
3.93,,36.0,14.0,,25.0,
3.97,,36.0,14.0,,25.0,
4.0,,36.0,14.0,,25.0,
4.03,,36.0,14.0,,25.0,
4.07,,36.0,,,25.0,
4.1,,36.0,14.0,,25.0,
4.13,,36.0,14.0,,,
4.17,,36.0,14.0,,,
4.2,,36.0,14.0,,,
4.23,,36.0,14.0,,25.0,
4.27,,36.0,14.0,,25.0,
4.3,,36.0,14.0,,25.0,
4.33,,36.0,14.0,,25.0,
4.37,,36.0,14.0,,25.0,
4.4,,36.0,14.0,,25.0,
4.43,,36.0,14.0,,25.0,
4.47,,36.0,14.0,,25.0,
4.5,,36.0,14.0,,25.0,
4.53,,36.0,14.0,,25.0,
4.57,,36.0,14.0,,25.0,
4.6,,36.0,14.0,,25.0,
4.63,,36.0,14.0,,25.0,
4.67,,36.0,14.0,,25.0,
4.7,,36.0,14.0,,25.0,
4.73,,36.0,14.0,,25.0,
4.77,,36.0,14.0,,25.0,
4.8,,36.0,14.0,,25.0,
4.83,,36.0,14.0,,25.0,
4.87,,36.0,14.0,,25.0,
4.9,,36.0,14.0,,25.0,
4.93,,36.0,14.0,,25.0,
4.97,,36.0,14.0,,25.0,
5.0,,36.0,14.0,,25.0,
5.03,,36.0,14.0,,25.0,
5.07,,36.0,14.0,,25.0,
