frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,8,1384.73,526.85,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,8,1382.61,526.53,-19.63,-2.96,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,8,1380.26,526.7,-21.76,1.57,-71.0,151.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,8,1377.18,526.77,-28.52,0.65,-225.33,-30.67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,8,1374.17,526.8,-27.87,0.28,21.67,-12.33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87,-0.28,0.0,0.0,0.0,0.0,0.0,30.793962070509796
0.17,8,1371.32,526.64,-26.39,-1.48,49.33,-58.67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.719999999999999,0.65,0.0,0.0,0.0,0.0,0.0,29.89335879422051
0.2,8,1368.57,526.34,-25.46,-2.78,31.0,-43.33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.469999999999999,3.15,0.0,0.0,0.0,0.0,0.0,29.024481046178956
0.23,8,1365.5,526.34,-28.43,0.0,-99.0,92.67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-1.11,0.0,0.0,0.0,0.0,0.0,28.065252537613063
0.27,8,1362.57,526.36,-27.13,0.19,43.33,6.33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.760000000000002,-0.75,0.0,0.0,0.0,0.0,0.0,27.23705747690083
0.3,8,1359.71,526.37,-26.48,0.09,21.67,-3.33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.779999999999998,0.74,0.0,0.0,0.0,0.0,0.0,26.34255302737381
