frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
0.0,1, white car,171.83,466.77,201.14,479.78,186.49,473.28,171.83,473.28,201.14,473.28,29.31,13.01,3
0.03,1, white car,169.35,466.24,198.82,479.33,184.09,472.78,169.35,472.78,198.82,472.78,29.48,13.09,3
0.07,1, white car,166.87,465.71,196.25,478.76,181.56,472.24,166.87,472.24,196.25,472.24,29.38,13.04,3
0.1,1, white car,163.47,465.28,193.31,478.52,178.39,471.9,163.47,471.9,193.31,471.9,29.84,13.24,3
0.13,1, white car,160.53,464.8,190.78,478.23,175.66,471.51,160.53,471.51,190.78,471.51,30.25,13.42,3
0.17,1, white car,157.53,464.49,188.53,478.24,173.03,471.37,157.53,471.37,188.53,471.37,31.0,13.76,3
0.2,1, white car,155.14,464.25,185.66,477.75,170.4,471.0,155.14,471.0,185.66,471.0,30.52,13.5,3
0.23,1, white car,152.13,463.87,182.01,477.08,167.07,470.47,152.13,470.47,182.01,470.47,29.88,13.21,3
0.27,1, white car,149.51,463.54,178.83,476.51,164.17,470.02,149.51,470.02,178.83,470.02,29.32,12.97,3
0.3,1, white car,147.02,463.44,175.91,476.23,161.46,469.84,147.02,469.84,175.91,469.84,28.89,12.79,3
0.33,1, white car,144.48,463.1,173.71,475.98,159.09,469.54,144.48,469.54,173.71,469.54,29.23,12.88,3
0.37,1, white car,141.85,462.87,171.14,475.75,156.5,469.31,141.85,469.31,171.14,469.31,29.29,12.88,3
0.4,1, white car,139.37,462.5,168.49,475.25,153.93,468.88,139.37,468.88,168.49,468.88,29.12,12.75,3
0.43,1, white car,137.1,462.33,166.04,474.96,151.57,468.64,137.1,468.64,166.04,468.64,28.94,12.63,3
0.47,1, white car,134.18,462.04,162.35,474.32,148.27,468.18,134.18,468.18,162.35,468.18,28.17,12.28,3
0.5,1, white car,131.38,461.7,159.83,474.05,145.6,467.87,131.38,467.87,159.83,467.87,28.45,12.35,3
0.53,1, white car,128.52,461.16,157.37,473.65,142.94,467.41,128.52,467.41,157.37,467.41,28.85,12.49,3
0.57,1, white car,126.1,460.87,154.9,473.27,140.5,467.07,126.1,467.07,154.9,467.07,28.81,12.4,3
0.6,1, white car,123.58,460.61,152.66,473.04,138.12,466.83,123.58,466.83,152.66,466.83,29.08,12.43,3
0.63,1, white car,120.81,460.4,149.78,472.79,135.29,466.6,120.81,466.6,149.78,466.6,28.97,12.38,3
0.67,1, white car,117.71,459.9,147.17,472.5,132.44,466.2,117.71,466.2,147.17,466.2,29.46,12.6,3
0.7,1, white car,115.15,459.56,145.08,472.36,130.11,465.96,115.15,465.96,145.08,465.96,29.94,12.8,3
0.73,1, white car,112.8,459.15,142.64,471.84,127.72,465.49,112.8,465.49,142.64,465.49,29.84,12.69,3
0.77,1, white car,110.33,458.92,139.59,471.33,124.96,465.12,110.33,465.12,139.59,465.12,29.26,12.4,3
0.8,1, white car,107.62,458.31,137.94,471.12,122.78,464.72,107.62,464.72,137.94,464.72,30.31,12.81,3
0.83,1, white car,103.76,457.64,134.6,470.73,119.18,464.18,103.76,464.18,134.6,464.18,30.84,13.09,3
