frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,2,469.72,462.68,0.0,0.0,0.0,0.0,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,145.53531805029317,,74.66973751125683,50.54017906576905,,
0.03,2,469.55,462.72,-1.57,0.37,0.0,0.0,1,1.57,-0.37,,,1.57,-0.37,1.57,-0.37,,,,,145.36308884995532,,74.48630276769013,50.69113630606442,,
0.07,2,469.41,462.74,-1.3,0.19,9.0,-6.0,1,1.3,-0.19,,,1.3,-0.19,1.3,-0.19,,,,,145.23741701090663,,74.35485861730889,50.8356607117484,,
0.1,2,469.24,462.55,-1.57,-1.76,-9.0,-65.0,1,1.57,1.76,,,1.57,1.76,1.57,1.76,,,,,144.9623554582361,,74.12897948845644,50.95645395825737,,
0.13,2,469.05,462.45,-1.76,-0.93,-6.33,27.67,1,1.76,0.93,,,1.76,0.93,1.76,0.93,,,,,144.71037454170315,,73.9027279604752,51.11151142355313,,
0.17,2,468.8,462.42,-2.31,-0.28,-18.33,21.67,1,2.31,0.28,,,2.31,0.28,2.31,0.28,,,,,144.50813817913505,,73.70784557969385,51.402354031697854,,
0.2,2,468.48,462.39,-2.96,-0.28,-21.67,0.0,1,2.96,0.28,,,2.96,0.28,2.96,0.28,,,,,144.27621910765475,,73.48322869879902,51.811436961350545,,
0.23,2,468.27,462.31,-1.94,-0.74,34.0,-15.33,1,1.94,0.74,,,1.94,0.74,1.94,0.74,,,,,144.1162117875709,,73.34422131292959,52.10099615170524,,
0.27,2,467.96,462.29,-2.87,-0.19,-31.0,18.33,1,2.87,0.19,,,2.87,0.19,2.87,0.19,,,,,143.9154227315474,,73.14824946640896,52.51823492845128,,
0.3,2,467.59,462.19,-3.43,-0.93,-18.67,-24.67,1,3.43,0.93,,,3.43,0.93,3.43,0.93,,,,,143.55464255815625,,72.81354887656556,52.91958144203339,,
