frame,leading,right_leading,left_leading,following,right_following,left_following
0.0,26,,37,16,,
0.03,26,,37,16,,
0.07,26,,37,16,,
0.1,26,,37,16,,
0.13,26,,37,16,,
0.17,26,,37,16,,
0.2,26,,37,16,,
0.23,26,,37,16,,
0.27,26,,37,16,,
0.3,26,,37,16,,
0.33,26,,37,16,,
0.37,26,,37,16,,
0.4,26,,37,16,,
0.43,26,,37,16,,
0.47,26,,37,16,,
0.5,26,,37,16,,
0.53,26,,37,16,,
0.57,26,,37,16,,
0.6,26,,37,16,,
0.63,26,,37,16,,
0.67,26,,37,16,,
0.7,26,,37,16,,
0.73,26,,37,16,,
0.77,26,,37,16,,
0.8,26,,37,16,,
0.83,26,,37,16,,
0.87,26,,37,16,,
0.9,26,,37,16,,
0.93,26,,37,16,,
0.97,26,,37,16,,
1.0,26,,37,16,,
1.03,26,,37,16,,
1.07,26,,37,16,,
1.1,26,,37,16,,
1.13,26,,37,16,,
1.17,26,,37,16,,
1.2,26,,37,16,,
1.23,26,,37,16,,
1.27,26,,37,16,,
1.3,26,,37,16,,
1.33,26,,37,16,,
1.37,26,,37,16,,
1.4,26,,37,16,,
1.43,26,,37,16,,
1.47,26,,37,16,,
1.5,26,,37,16,,
1.53,26,,37,16,,
1.57,26,,37,16,,
1.6,26,,37,16,,
1.63,26,,37,16,,
1.67,26,,37,16,,
1.7,26,,37,16,,
1.73,26,,37,16,,
1.77,26,,37,16,,
1.8,26,,37,16,,
1.83,26,,37,16,,
1.87,26,,37,16,,
1.9,26,,37,16,,
1.93,26,,37,16,,
1.97,26,,37,16,,
2.0,26,,37,16,,
2.03,26,,37,16,,
2.07,26,,37,16,,12.0
2.1,26,,37,16,,12.0
2.13,26,,37,16,,12.0
2.17,26,,37,16,,12.0
2.2,26,,37,16,,12.0
2.23,26,,37,16,,12.0
2.27,26,,37,16,,12.0
2.3,26,,37,16,,12.0
2.33,26,,37,16,,12.0
2.37,26,,37,16,,12.0
2.4,26,,37,16,,12.0
2.43,26,,37,16,,12.0
2.47,26,,37,16,,
2.5,26,,37,16,,
2.53,26,,37,16,,
2.57,26,,37,16,,
2.6,26,,37,16,,
2.63,26,,37,16,,
2.67,26,,37,16,,12.0
2.7,26,,37,16,,12.0
2.73,26,,37,16,,12.0
2.77,26,,37,16,,12.0
2.8,26,,37,16,,12.0
2.83,26,,37,16,,12.0
2.87,26,,37,16,,12.0
2.9,26,,37,16,,12.0
2.93,26,,37,16,,12.0
2.97,26,,37,16,,12.0
3.0,26,,37,16,,12.0
3.03,26,,37,16,,12.0
3.07,26,,37,16,,12.0
3.1,26,,37,16,,12.0
3.13,26,,37,16,,12.0
3.17,26,,37,16,,12.0
3.2,26,,37,16,,12.0
3.23,26,,37,16,,12.0
3.27,26,,37,16,,12.0
3.3,26,,37,16,,12.0
3.33,26,,37,16,,12.0
3.37,26,,37,16,,12.0
3.4,26,,37,16,,12.0
3.43,26,,37,16,,12.0
3.47,26,,37,16,,12.0
3.5,26,,37,16,,12.0
3.53,26,,37,16,,12.0
3.57,26,,37,16,,12.0
3.6,26,,37,16,,12.0
3.63,26,,37,16,,12.0
3.67,26,,37,16,,12.0
3.7,26,,37,16,,12.0
3.73,26,,37,16,,12.0
3.77,26,,37,16,,12.0
3.8,26,,37,16,,12.0
3.83,26,,37,16,,12.0
3.87,26,,37,16,,12.0
3.9,26,,37,16,,12.0
3.93,26,,37,16,,12.0
3.97,26,,37,16,,12.0
4.0,26,,37,16,,12.0
4.03,26,,37,16,,12.0
4.07,26,,37,16,,12.0
4.1,26,,37,16,,12.0
4.13,26,,37,16,,12.0
4.17,26,,37,16,,12.0
4.2,26,,37,16,,12.0
4.23,26,,37,16,,12.0
4.27,26,,37,16,,12.0
4.3,26,,37,16,,12.0
4.33,26,,37,16,,12.0
4.37,26,,37,16,,12.0
4.4,26,,37,16,,12.0
4.43,26,,37,16,,12.0
4.47,26,,37,16,,12.0
4.5,26,,37,16,,12.0
4.53,26,,37,16,,12.0
4.57,26,,37,16,,12.0
4.6,26,,37,16,,12.0
4.63,26,,37,16,,12.0
4.67,26,,37,16,,12.0
4.7,26,,37,16,,12.0
4.73,26,,37,16,,12.0
4.77,26,,37,16,,12.0
4.8,26,,37,16,,12.0
4.83,26,,37,16,,12.0
4.87,26,,37,16,,12.0
4.9,26,,37,16,,12.0
4.93,26,,37,16,,
4.97,26,,37,16,,12.0
5.0,26,,37,16,,12.0
5.03,26,,37,16,,12.0
5.07,26,,37,16,,12.0
5.1,26,,37,16,,12.0
5.13,26,,37,16,,12.0
5.17,26,,37,16,,12.0
5.2,26,,37,16,,12.0
5.23,26,,37,16,,12.0
5.27,26,,37,16,,12.0
5.3,26,,37,16,,12.0
5.33,26,,37,16,,12.0
5.37,26,,37,16,,12.0
5.4,26,,37,16,,12.0
5.43,26,,37,16,,12.0
5.47,26,,37,16,,
5.5,26,,37,16,,
5.53,26,,37,33,,
5.57,26,,37,33,,
5.6,26,,37,33,,
5.63,26,,37,33,,
