Frame: 0.0, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: None
Frame: 0.03, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: None
Frame: 0.07, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: None
Frame: 0.1, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: None
Frame: 0.13, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.17, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.2, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.23, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.27, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.3, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.33, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.37, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.4, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.43, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.47, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.5, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.53, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.57, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.6, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.63, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.67, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: 7, Following Right ID: 10
Frame: 0.7, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: 7, Following Right ID: 10
Frame: 0.73, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: 7, Following Right ID: 10
Frame: 0.77, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: 7, Following Right ID: 10
Frame: 0.8, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: 7, Following Right ID: 10
Frame: 0.83, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: 7, Following Right ID: 10
Frame: 0.87, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 0.9, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 6, Following ID: None, Following Left ID: None, Following Right ID: 10
