frame,leading,right_leading,left_leading,following,right_following,left_following,leading_relative_distance,leading_relative_speed_x,leading_relative_speed_y,right_leading_relative_distance,right_leading_relative_speed_x,right_leading_relative_speed_y,left_leading_relative_distance,left_leading_relative_speed_x,left_leading_relative_speed_y,following_relative_distance,following_relative_speed_x,following_relative_speed_y,right_following_relative_distance,right_following_relative_speed_x,right_following_relative_speed_y,left_following_relative_distance,left_following_relative_speed_x,left_following_relative_speed_y
0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.03,,,,,,,,,,,,,,,,,,,,,,,,
0.07,,,,,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,
0.13,,,,,,10.0,,,,,,,,,,,,,,,,57.028,27.87,0.28
0.17,,,,,,10.0,,,,,,,,,,,,,,,,56.046,9.72,0.65
0.2,,,,,,10.0,,,,,,,,,,,,,,,,54.576,15.47,3.15
0.23,,,,,,10.0,,,,,,,,,,,,,,,,53.507,10.0,1.11
0.27,,,,,,10.0,,,,,,,,,,,,,,,,52.792,6.76,0.75
0.3,,,,,,10.0,,,,,,,,,,,,,,,,52.033,7.78,0.74
0.33,,,,,,10.0,,,,,,,,,,,,,,,,51.095,9.72,1.39
0.37,,,,,,10.0,,,,,,,,,,,,,,,,49.685,14.72,1.85
0.4,,,,,,10.0,,,,,,,,,,,,,,,,47.941,18.06,1.67
0.43,,,,,,10.0,,,,,,,,,,,,,,,,47.335,6.38,0.74
0.47,,,,,,10.0,,,,,,,,,,,,,,,,46.366,9.36,0.93
0.5,,,,,,10.0,,,,,,,,,,,,,,,,45.536,7.59,1.57
0.53,,,,,,10.0,,,,,,,,,,,,,,,,44.779,8.15,1.01
0.57,,,,,,10.0,,,,,,,,,,,,,,,,44.288,5.18,0.46
0.6,,,,,,10.0,,,,,,,,,,,,,,,,43.218,10.0,2.04
0.63,,,,,,10.0,,,,,,,,,,,,,,,,42.212,9.63,1.58
0.67,,,,7.0,,10.0,,,,,,,,,,100.78,26.3,0.83,,,,41.565,6.48,0.18
0.7,,,,7.0,,10.0,,,,,,,,,,100.87,0.84,0.56,,,,40.802,7.96,0.46
0.73,,,,7.0,,10.0,,,,,,,,,,101.01,1.29,0.65,,,,38.946,19.26,0.0
0.77,,,,7.0,,10.0,,,,,,,,,,101.786,7.23,1.58,,,,37.942,10.65,0.37
0.8,,,,7.0,,10.0,,,,,,,,,,102.86,9.91,0.74,,,,37.223,8.79,2.04
0.83,,,,7.0,,10.0,,,,,,,,,,103.645,7.22,1.76,,,,36.438,9.36,1.76
0.87,,,,7.0,,10.0,,,,,,,,,,104.105,4.35,1.58,,,,35.768,5.37,2.96
0.9,,,,7.0,,10.0,,,,,,,,,,103.945,1.49,0.74,,,,34.866,7.5,3.7
0.93,,,,7.0,,10.0,,,,,,,,,,103.647,2.87,3.89,,,,33.524,14.63,0.0
0.97,,,,7.0,,10.0,,,,,,,,,,103.517,1.11,0.47,,,,32.421,10.93,1.57
1.0,,,,7.0,,10.0,,,,,,,,,,104.091,5.19,1.57,,,,31.96,6.11,1.39
