X_train shape: (45567, 31)
X_test shape: (11392, 31)
Epoch 1: Train Loss: 0.4496669918821936, Train Accuracy: 0.7875
Epoch 2: Train Loss: 0.3888806885610638, Train Accuracy: 0.8190
Epoch 3: Train Loss: 0.3205696118346761, Train Accuracy: 0.8593
Epoch 4: Train Loss: 0.2632548038512887, Train Accuracy: 0.8878
Epoch 5: Train Loss: 0.24084067038584794, Train Accuracy: 0.9005
Epoch 6: Train Loss: 0.2025499642549313, Train Accuracy: 0.9174
Epoch 7: Train Loss: 0.18755958552650187, Train Accuracy: 0.9254
Epoch 8: Train Loss: 0.16867296290819356, Train Accuracy: 0.9326
Epoch 9: Train Loss: 0.15821159783923433, Train Accuracy: 0.9378
Epoch 10: Train Loss: 0.14898279301097533, Train Accuracy: 0.9406
Epoch 11: Train Loss: 0.14623602019986556, Train Accuracy: 0.9433
Epoch 12: Train Loss: 0.13375993114026274, Train Accuracy: 0.9481
Epoch 13: Train Loss: 0.1310994485582832, Train Accuracy: 0.9485
Epoch 14: Train Loss: 0.12118790983801231, Train Accuracy: 0.9530
Epoch 15: Train Loss: 0.11681999317291873, Train Accuracy: 0.9533
Epoch 16: Train Loss: 0.11649312434738941, Train Accuracy: 0.9543
Epoch 17: Train Loss: 0.11096973891901062, Train Accuracy: 0.9560
Epoch 18: Train Loss: 0.10355574528397626, Train Accuracy: 0.9595
Epoch 19: Train Loss: 0.09856625521467904, Train Accuracy: 0.9613
Epoch 20: Train Loss: 0.0985005128863163, Train Accuracy: 0.9613
Epoch 21: Train Loss: 0.09874867512569815, Train Accuracy: 0.9614
Epoch 22: Train Loss: 0.093320535416087, Train Accuracy: 0.9637
Epoch 23: Train Loss: 0.09384882023438335, Train Accuracy: 0.9634
Epoch 24: Train Loss: 0.08953513468109991, Train Accuracy: 0.9646
Epoch 25: Train Loss: 0.08821156257156902, Train Accuracy: 0.9660
Epoch 26: Train Loss: 0.0949548528350012, Train Accuracy: 0.9638
Epoch 27: Train Loss: 0.08405720970547284, Train Accuracy: 0.9678
Epoch 28: Train Loss: 0.0843915997800323, Train Accuracy: 0.9671
Epoch 29: Train Loss: 0.08983365508984105, Train Accuracy: 0.9661
Epoch 30: Train Loss: 0.07909175431701809, Train Accuracy: 0.9682
Epoch 31: Train Loss: 0.09025829215583082, Train Accuracy: 0.9654
Epoch 32: Train Loss: 0.08288768007389918, Train Accuracy: 0.9678
Epoch 33: Train Loss: 0.07910769510047257, Train Accuracy: 0.9696
Epoch 34: Train Loss: 0.07965996445379327, Train Accuracy: 0.9688
Epoch 35: Train Loss: 0.07776756908105598, Train Accuracy: 0.9698
Epoch 36: Train Loss: 0.07518017975325053, Train Accuracy: 0.9717
Epoch 37: Train Loss: 0.07161789472920237, Train Accuracy: 0.9723
Epoch 38: Train Loss: 0.0728788543841638, Train Accuracy: 0.9710
Epoch 39: Train Loss: 0.07214805691137882, Train Accuracy: 0.9715
Epoch 40: Train Loss: 0.06720145908290627, Train Accuracy: 0.9731
Epoch 41: Train Loss: 0.08490391816469148, Train Accuracy: 0.9660
Epoch 42: Train Loss: 0.07021108230090638, Train Accuracy: 0.9723
Epoch 43: Train Loss: 0.06808275738696691, Train Accuracy: 0.9740
Epoch 44: Train Loss: 0.06385897687035273, Train Accuracy: 0.9745
Epoch 45: Train Loss: 0.0690018214395167, Train Accuracy: 0.9732
Epoch 46: Train Loss: 0.0656421826859698, Train Accuracy: 0.9744
Epoch 47: Train Loss: 0.06512522535902034, Train Accuracy: 0.9743
Epoch 48: Train Loss: 0.06267991890592711, Train Accuracy: 0.9755
Epoch 49: Train Loss: 0.06462857174851246, Train Accuracy: 0.9753
Epoch 50: Train Loss: 0.06383320734929522, Train Accuracy: 0.9747
Epoch 51: Train Loss: 0.062265787774685014, Train Accuracy: 0.9758
Epoch 52: Train Loss: 0.0613040281153731, Train Accuracy: 0.9757
Epoch 53: Train Loss: 0.059426315050607144, Train Accuracy: 0.9766
Epoch 54: Train Loss: 0.05919088246376846, Train Accuracy: 0.9771
Epoch 55: Train Loss: 0.05859551075970016, Train Accuracy: 0.9774
Epoch 56: Train Loss: 0.056700964997586464, Train Accuracy: 0.9781
Epoch 57: Train Loss: 0.057398736519082394, Train Accuracy: 0.9775
Epoch 58: Train Loss: 0.058383618927211826, Train Accuracy: 0.9769
Epoch 59: Train Loss: 0.058977858894650126, Train Accuracy: 0.9770
Epoch 60: Train Loss: 0.05586666230934252, Train Accuracy: 0.9779
Epoch 61: Train Loss: 0.05715942372474918, Train Accuracy: 0.9773
Epoch 62: Train Loss: 0.05384940867899398, Train Accuracy: 0.9784
Epoch 63: Train Loss: 0.054739361040355, Train Accuracy: 0.9782
Epoch 64: Train Loss: 0.05536135360953369, Train Accuracy: 0.9781
Epoch 65: Train Loss: 0.05240393031486706, Train Accuracy: 0.9789
Epoch 66: Train Loss: 0.053744029855500156, Train Accuracy: 0.9784
Epoch 67: Train Loss: 0.05322238245256752, Train Accuracy: 0.9794
Epoch 68: Train Loss: 0.05267015544915226, Train Accuracy: 0.9800
